state_fips,n_obs,ap,pos_rate,lift,below_random_flag
06,134338,0.04957565801489062,0.01444118566600664,3.4329354362909155,OK
34,34202,0.06901777993521527,0.00754341851353722,9.14940352459005,OK
32,10879,0.0708241557887103,0.024818457578821583,2.8536888549088126,OK
19,12667,0.07289099344921737,0.03134128049261862,2.3257184232272956,OK
36,75681,0.07953609566343775,0.02643992547667182,3.008181537183724,OK
12,75356,0.08657438143098804,0.008891130102447051,9.737162816587366,OK
53,25531,0.08740714337789514,0.016724765970780618,5.226210251946232,OK
13,39880,0.09310686461128766,0.017326980942828484,5.3735191905906685,OK
04,25568,0.09409738994487847,0.02256727158948686,4.16963962930789,OK
51,30892,0.09598778701513337,0.024569467823384695,3.906791457801713,OK
27,21330,0.10032684090869484,0.031082981715893108,3.2277096781032593,OK
48,98547,0.10153635797645595,0.016601215663591993,6.116200164734599,OK
49,9932,0.10497345215808837,0.021244462343938782,4.941214819119117,OK
18,24688,0.10617678948875367,0.026936163318211276,3.9417933517268433,OK
15,5154,0.10805689104761856,0.03531237873496314,3.0600286618649783,OK
46,3539,0.10991426887060692,0.015541113308844307,7.072483591510506,OK
26,41274,0.1126428824804373,0.039879827494306345,2.8245579170702118,OK
24,21893,0.11419575560838244,0.019184214132371077,5.95258970841504,OK
17,47486,0.11907340072442402,0.029587667944236194,4.024426695231316,OK
47,24782,0.1198219618756638,0.024533935921233152,4.883927400004441,OK
25,23748,0.12045876991624654,0.009474482061647296,12.71402163542677,OK
09,11448,0.12052762802437451,0.007424877707896575,16.23294453674164,OK
11,2832,0.12464514059479215,0.04449152542372881,2.8015479219400903,OK
42,50088,0.12482444248391333,0.019785178086567642,6.308987563203078,OK
01,20161,0.12670098437993974,0.03159565497743168,4.010076210492881,OK
37,38669,0.1332547871479386,0.01399053505391916,9.52463838118972,OK
41,14718,0.1337595645192086,0.016170675363500475,8.271736431066017,OK
20,11682,0.13609543267840052,0.03244307481595617,4.194899325987005,OK
21,16919,0.1371143210506483,0.04864353685205981,2.8187572270424286,OK
29,23764,0.1430258714875236,0.0215451944117152,6.638411738338888,OK
31,8021,0.14824960490780614,0.02044632838798155,7.250671225399469,OK
28,12203,0.1483266647317313,0.02409243628615914,6.1565656112969975,OK
55,21628,0.14981440783854824,0.03652672461623821,4.101501281939394,OK
39,44474,0.15005989088595736,0.03838197598596933,3.9096447494212465,OK
22,19691,0.15228224570243093,0.020516987456198264,7.4222517329865525,OK
08,22414,0.15795048497504185,0.01235834746140805,12.780874260760244,OK
45,18443,0.15996270022670087,0.02147156102586347,7.449980000709707,OK
10,3748,0.16741523984173656,0.013607257203842048,12.303378802486836,OK
35,7524,0.20234199917224643,0.04279638490164806,4.728016154571373,OK
40,16646,0.20541296585172297,0.03532380151387721,5.815143247564253,OK
05,12077,0.20616975885927571,0.01275151113687174,16.168260894438134,OK
54,7342,0.21897257652936228,0.05597929719422501,3.911670698001406,OK
16,6064,0.22238404455059402,0.02028364116094987,10.963714196380504,OK
30,4583,0.23208045905105276,0.01767401265546585,13.131169676925616,OK
33,5207,0.23361665873504156,0.013635490685615518,17.13298509906143,OK
38,3292,0.23815865564800362,0.013669501822600244,17.422628764293954,OK
56,2280,0.2658858857640631,0.02982456140350877,8.914997346206821,OK
50,2965,0.2905100327479019,0.013490725126475547,21.534056177438227,OK
02,2293,0.2927771974407097,0.041866550370693416,6.993105351370284,OK
23,5968,0.32228897141949814,0.014075067024128687,22.897864064661487,OK
44,3734,0.394154463006228,0.008302088912694162,47.476540802105006,OK
