feature,mean_importance,std_importance
distance_to_nearest_bank_branch,0.23345260625,0.05991553555068619
ssbci_active,0.11258932499999999,0.06007109924323951
pct_loans_from_credit_unions_resid,0.085459988125,0.013125552959778164
nearest_mdi_branch_miles,0.071725262625,0.0180494136992809
top3_lender_share_tract_resid,0.063515154125,0.01733150348975249
lender_hhi_tract_resid,0.055025887375,0.008344409412999186
pct_loans_from_top4_banks_resid,0.049309960875,0.007306385229677073
ssbci_program_count,0.038230445875,0.021040882878997018
mdi_active_in_county,0.03374250175,0.021430064872985186
pct_loans_under_250k_resid,0.032882787499999996,0.00883051368584845
top1_lender_share_tract_resid,0.03211055175,0.007761137625034525
mdi_branches_within_25mi,0.031520438125,0.006767817951397489
branch_closures_3y_within_10mi,0.030787092125000002,0.028091522165917576
mdi_branches_within_10mi,0.0271662645,0.005820728813792502
pct_loans_from_community_banks_resid,0.026214994499999998,0.0051459345345146006
branches_within_5mi,0.024771186625,0.002386668521708207
pct_loans_under_100k_resid,0.020198739875,0.0032625468637422976
microloan_intermediary_within_25mi,0.019870607749999998,0.0039231530542545474
ssbci_n_capital_programs,0.011426194924999999,0.011762157962898725
ssbci_2_0_active,0.0,0.0
