state_fips,n,pos,pos_rate,auc,ap,ap_lift,brier
01,17778,638,0.03588705141185735,0.8640798806070604,0.2823232105113924,7.866993787572938,0.02978868968784809
02,2151,117,0.05439330543933055,0.8874013564279051,0.3959101552768179,7.278655931627651,0.04130096733570099
04,23195,463,0.019961198534166846,0.8356046262031924,0.14376809736077278,7.202378009250809,0.018379129469394684
05,10720,247,0.0230410447761194,0.9228788042202989,0.4134703515547782,17.9449480512843,0.01711547188460827
06,119008,1657,0.013923433718741596,0.8537704564738129,0.11880221797429888,8.532537330528282,0.013030831702053547
08,21030,261,0.012410841654778888,0.9281446393820438,0.2927376743217872,23.587253988456645,0.010301106609404087
09,11556,71,0.006143994461751471,0.9088278035649684,0.18174478642307118,29.580883829648037,0.0056938244961202145
10,3224,43,0.013337468982630272,0.9053683571788892,0.20408524706411932,15.301647361272575,0.011861201375722885
11,2466,118,0.047850770478507706,0.8053247625097452,0.1651368630282347,3.4510805443019215,0.04416270554065704
12,65202,864,0.013251127266034784,0.8545604024981492,0.15302290259799511,11.547915850919534,0.012074469588696957
13,34466,938,0.02721522660012766,0.8720119650494841,0.30421103543835426,11.17797179895343,0.022323839366436005
15,4210,172,0.04085510688836105,0.8054463699505857,0.17105134670594008,4.186780056000044,0.03693150356411934
16,5295,143,0.02700661000944287,0.9037484254875561,0.35692333757336503,13.216147359796977,0.021300168707966805
17,42868,1004,0.023420733414201735,0.8961009226042513,0.2504144837452983,10.692000088838094,0.019871070981025696
18,22652,522,0.023044322797104007,0.8835189311504814,0.24990238524004807,10.844423046853581,0.019474511966109276
19,11635,326,0.02801890846583584,0.87163191052026,0.3519671816747104,12.561773493206305,0.02217780239880085
20,10548,305,0.028915434205536595,0.8794869907157707,0.3671708479904431,12.69809214623998,0.02276167832314968
21,15305,765,0.04998366546880104,0.8602475478958205,0.3179306773719347,6.360691525722171,0.04106733947992325
22,17154,433,0.025241926081380435,0.9044469532787316,0.30097242843673444,11.9235127884613,0.020932620391249657
23,5329,61,0.011446800525426909,0.9510919626075158,0.2876666915633659,25.130750808871753,0.010233556851744652
24,19436,366,0.018831035192426425,0.8898677148612675,0.21763028933344208,11.55700082919339,0.016480252146720886
25,20710,172,0.008305166586190247,0.9292021369350517,0.24828473667015297,29.895214514179465,0.007132049184292555
26,38112,1148,0.03012174643157011,0.8650134022480485,0.23420454077269967,7.7752643361752,0.025862373411655426
27,19541,467,0.02389846988383399,0.8687030160230224,0.28175499673071985,11.789666790396138,0.02001093327999115
28,10575,402,0.03801418439716312,0.8929596341500987,0.4069119132342711,10.70421264291646,0.02886020392179489
29,21171,496,0.023428274526474894,0.913001960057729,0.286030243678749,12.20876267927983,0.019129939377307892
30,4233,118,0.027876210725253956,0.9375743971003151,0.3813983923927805,13.68185927964949,0.02242407016456127
31,7283,177,0.02430317176987505,0.9387415902213616,0.4975546091209575,20.472826091683242,0.016713641583919525
32,9151,236,0.02578953119877609,0.7595230852590853,0.11624519643534967,4.507456748219851,0.024516750127077103
33,4578,51,0.011140235910878113,0.9300796528021414,0.3083784674217088,27.681502428560453,0.009091396816074848
34,31269,247,0.007899197288048866,0.9213771368210153,0.1781030848747031,22.546985266992273,0.007152457255870104
35,6742,245,0.03633936517353901,0.8238059638200363,0.2325864700771742,6.400399923511463,0.03190617635846138
36,66526,1558,0.023419414965577368,0.8544187607557642,0.17217756320609312,7.351915641751317,0.020976761355996132
37,33833,611,0.018059291224544083,0.8998507634156019,0.26746565067346373,14.810417936555318,0.015171713195741177
38,3016,84,0.027851458885941646,0.9512298609757683,0.4800808893528641,17.237190027240928,0.018854612484574318
39,40199,1215,0.03022463245354362,0.8778218709965636,0.24868879258396848,8.228017097187612,0.025916660204529762
40,14809,491,0.03315551353906408,0.8476555510005637,0.2732439645517677,8.241282833089873,0.027629893273115158
41,13317,193,0.014492753623188406,0.9080417476663408,0.2851863678959116,19.6778593848179,0.01212356798350811
42,44572,767,0.017208112716503635,0.9021133127182859,0.21608132278999467,12.556944875352858,0.014996356330811977
44,3283,22,0.006701187937861712,0.9643026400156114,0.3559191762775633,53.1128479872382,0.005439523607492447
45,15917,397,0.02494188603380034,0.8809330286426549,0.2868943545544474,11.502512446960047,0.02076602168381214
46,3267,116,0.03550658096112642,0.9591673141531423,0.5087115696593656,14.327247397216787,0.02284824475646019
47,22402,620,0.0276761003481832,0.8750019252356933,0.28214363249487817,10.194486540564936,0.023258062079548836
48,84416,1690,0.020019901440485217,0.8653312882751029,0.23185989190213158,11.581470198112626,0.017318734899163246
49,8565,177,0.02066549912434326,0.8636551005067772,0.23500584128012636,11.371892828046793,0.018233176320791245
50,2645,32,0.012098298676748583,0.9818694986605434,0.45147967323528565,37.31761674085408,0.008955705910921097
51,27509,701,0.025482569340942965,0.8828115854019346,0.29664505164175986,11.641096612857591,0.020933981984853745
53,22852,371,0.016234902853141955,0.8840332495209191,0.2269113487376413,13.976760488820968,0.014127872884273529
54,6744,332,0.04922894424673784,0.8289359089508376,0.2907920298515058,5.906932076260708,0.04144149273633957
55,19629,480,0.024453614549900658,0.8888957974306751,0.28012190358629885,11.455235094782209,0.020396171137690544
56,2104,68,0.03231939163498099,0.9429930370969606,0.4546118000921682,14.066223932263558,0.022337766364216805
