bin_low,bin_high,n,mean_predicted,mean_observed
0.0,0.1,1458061,0.006662208586931229,0.01578740532803497
0.1,0.2,28599,0.1399165242910385,0.2511626280639183
0.2,0.30000000000000004,10077,0.24283798038959503,0.354966755978962
0.30000000000000004,0.4,4123,0.3425476551055908,0.4423963133640553
0.4,0.5,1600,0.44158580899238586,0.53625
0.5,0.6000000000000001,605,0.5441812872886658,0.628099173553719
0.6000000000000001,0.7000000000000001,205,0.6410224437713623,0.7463414634146341
0.7000000000000001,0.8,67,0.7480664849281311,0.7313432835820896
0.8,0.9,44,0.8443369269371033,1.0
0.9,1.0,10,0.9167766571044922,1.0
