state_fips,n,pos_rate,auc,brier
11,2832,0.04449152542372881,0.6832597167963022,0.04283424839377403
32,10879,0.024818457578821583,0.6877260048246947,0.023714836686849594
19,12667,0.03134128049261862,0.706576934999456,0.02999041974544525
27,21330,0.031082981715893108,0.7211142996452911,0.029644140973687172
35,7524,0.04279638490164806,0.7228657584763376,0.03838565945625305
49,9932,0.021244462343938782,0.7231912539959663,0.019521769136190414
04,25568,0.02256727158948686,0.7295738770983551,0.02116726152598858
20,11682,0.03244307481595617,0.7369722517453395,0.030578384175896645
09,11448,0.007424877707896575,0.7380450481697562,0.0069306050427258015
54,7342,0.05597929719422501,0.7398097900016184,0.05063392594456673
26,41274,0.039879827494306345,0.7474146715118892,0.03725842013955116
06,134338,0.01444118566600664,0.7688359570479699,0.013673579320311546
18,24688,0.026936163318211276,0.7749887560761789,0.025141282007098198
55,21628,0.03652672461623821,0.775690559238781,0.033870991319417953
40,16646,0.03532380151387721,0.7792711243172072,0.03157886117696762
47,24782,0.024533935921233152,0.7820346416659045,0.022777482867240906
36,75681,0.02643992547667182,0.7842881185628683,0.024673515930771828
39,44474,0.03838197598596933,0.7870767129619908,0.035439733415842056
01,20161,0.03159565497743168,0.7915017527033507,0.028938395902514458
51,30892,0.024569467823384695,0.7922236669955117,0.022885456681251526
15,5154,0.03531237873496314,0.7950025638078735,0.03283121809363365
41,14718,0.016170675363500475,0.7960604891127722,0.014442172832787037
21,16919,0.04864353685205981,0.7974613210771819,0.04434021934866905
17,47486,0.029587667944236194,0.8042730806445497,0.027713513001799583
56,2280,0.02982456140350877,0.8055559249016062,0.024049580097198486
53,25531,0.016724765970780618,0.8105819369875649,0.015256567858159542
22,19691,0.020516987456198264,0.8178770571877533,0.01914222538471222
08,22414,0.01235834746140805,0.821783742819779,0.011221523396670818
48,98547,0.016601215663591993,0.824022515150707,0.015168064273893833
24,21893,0.019184214132371077,0.8280281106062319,0.017613640055060387
31,8021,0.02044632838798155,0.8307979213812757,0.018686959519982338
42,50088,0.019785178086567642,0.8325944149729585,0.018422558903694153
29,23764,0.0215451944117152,0.8387767214916995,0.019527509808540344
37,38669,0.01399053505391916,0.8466263410417133,0.012655853293836117
25,23748,0.009474482061647296,0.8492523157004728,0.008638853207230568
45,18443,0.02147156102586347,0.8534474797288562,0.019624013453722
12,75356,0.008891130102447051,0.8537505680498771,0.008343429304659367
13,39880,0.017326980942828484,0.8685027795278653,0.015922164544463158
05,12077,0.01275151113687174,0.8724984233245576,0.011226058937609196
28,12203,0.02409243628615914,0.8741319518822728,0.021390514448285103
34,34202,0.00754341851353722,0.8761337643213538,0.007090659812092781
02,2293,0.041866550370693416,0.8805781558185405,0.03390415757894516
16,6064,0.02028364116094987,0.8881029308525705,0.017000336199998856
38,3292,0.013669501822600244,0.8954727440714505,0.011841589584946632
23,5968,0.014075067024128687,0.8989481159561037,0.011300621554255486
30,4583,0.01767401265546585,0.9017926189183408,0.014695665799081326
33,5207,0.013635490685615518,0.9034747817120794,0.010876988992094994
10,3748,0.013607257203842048,0.9039549820469167,0.012104225344955921
46,3539,0.015541113308844307,0.9127935497338482,0.01282835565507412
50,2965,0.013490725126475547,0.9153589743589744,0.010851730592548847
44,3734,0.008302088912694162,0.959344210883939,0.006184685509651899
