number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.4498214694405506,2026-04-28 15:05:03.520485,2026-04-28 15:05:04.518941,0 days 00:00:00.998456,0.5779972601681014,0.05395030966670229,10,62,521,57,3.3323645788192616e-08,0.6245760287469887,0.7468055921327309,COMPLETE
1,0.4272485130921715,2026-04-28 15:05:04.518979,2026-04-28 15:05:05.114662,0 days 00:00:00.595683,0.5909124836035503,0.09330606024425668,4,84,467,95,4.4734294104626844e-07,5.472429642032189e-06,0.7637017332034828,COMPLETE
2,0.4331384496445746,2026-04-28 15:05:05.114704,2026-04-28 15:05:06.042030,0 days 00:00:00.927326,0.6831809216468459,0.04091220574443785,6,18,239,63,0.00012724181576752517,0.11656915613247415,0.7876433945605654,COMPLETE
3,0.4628534409756949,2026-04-28 15:05:06.042057,2026-04-28 15:05:07.140548,0 days 00:00:01.098491,0.5325257964926398,0.011128853174905732,8,63,666,73,3.4671276804481113,4.905556676028766,0.7511572371061874,COMPLETE
4,0.44253766594892874,2026-04-28 15:05:07.140579,2026-04-28 15:05:07.705450,0 days 00:00:00.564871,0.7475884550556351,0.04833180632488466,4,47,281,49,2.039373116525212e-08,1.5271567592511939,0.7366114704534336,COMPLETE
5,0.4274631803160616,2026-04-28 15:05:07.705476,2026-04-28 15:05:09.417627,0 days 00:00:01.712151,0.9847923138822793,0.03311829888072381,6,57,727,89,0.0946663015372686,2.8542399074977594,0.7554563366576581,COMPLETE
6,0.45668431752804745,2026-04-28 15:05:09.417655,2026-04-28 15:05:10.486932,0 days 00:00:01.069277,0.6626651653816322,0.012260057359187526,10,23,680,82,3.148441347423712e-05,2.7678419414850017e-06,0.7135681866731614,COMPLETE
7,0.4494616162471068,2026-04-28 15:05:10.486978,2026-04-28 15:05:11.203524,0 days 00:00:00.716546,0.5372753218398854,0.03488960745139221,5,18,239,55,7.6204817861585425,0.08916674715636552,0.9406590942262119,COMPLETE
8,0.4364728878641641,2026-04-28 15:05:11.203552,2026-04-28 15:05:11.928234,0 days 00:00:00.724682,0.5370223258670452,0.050916359458185526,9,74,705,15,1.683416412018213e-05,1.1036250149900698e-07,0.9313811040057837,COMPLETE
9,0.4418081573424782,2026-04-28 15:05:11.928267,2026-04-28 15:05:13.875284,0 days 00:00:01.947017,0.864803089169032,0.011575995526672779,6,34,431,85,0.005470376807480385,0.9658611176861261,0.7975549966080241,COMPLETE
10,0.4339706666385584,2026-04-28 15:05:13.875316,2026-04-28 15:05:16.563066,0 days 00:00:02.687750,0.8451235367845726,0.018007311424136797,8,94,561,121,5.724692232873258,0.0025074987853267315,0.8557432009778444,COMPLETE
11,0.4513319916427601,2026-04-28 15:05:16.563096,2026-04-28 15:05:17.856113,0 days 00:00:01.293017,0.6712579968688783,0.010123001870437326,10,40,799,108,6.855353841883e-06,2.3535702826591285e-05,0.7094137614852756,COMPLETE
12,0.4596862645309667,2026-04-28 15:05:17.856436,2026-04-28 15:05:18.877509,0 days 00:00:01.021073,0.6454016179244166,0.018286955662327024,8,6,625,78,0.0044543722426484056,2.0057322817130592e-08,0.8406115656663526,COMPLETE
13,0.4622536211295199,2026-04-28 15:05:18.877535,2026-04-28 15:05:19.749568,0 days 00:00:00.872033,0.6220889248943965,0.02004392886429614,8,5,620,38,0.05533967924185785,0.002286126171275298,0.8508868670133551,COMPLETE
14,0.4590540021628169,2026-04-28 15:05:19.749599,2026-04-28 15:05:20.590411,0 days 00:00:00.840812,0.5110296674889511,0.02013283872421061,8,67,397,32,0.23225305694369042,0.0017141499872280904,0.876858657379096,COMPLETE
15,0.4533259717288688,2026-04-28 15:05:20.590465,2026-04-28 15:05:21.393281,0 days 00:00:00.802816,0.6067816387994543,0.024028608149265197,7,76,608,33,0.26538730009878186,0.010836930382935862,0.8921283575429872,COMPLETE
16,0.44492967892909824,2026-04-28 15:05:21.393306,2026-04-28 15:05:22.198056,0 days 00:00:00.804750,0.7374609227338034,0.015123466175136744,9,5,109,40,0.005328319011729062,0.00015123130504812854,0.8211590929415787,COMPLETE
17,0.43676150823658155,2026-04-28 15:05:22.198092,2026-04-28 15:05:23.399313,0 days 00:00:01.201221,0.8214237152952777,0.023627853080240215,7,49,799,21,0.990954046156394,9.886786333501968,0.9069023275635302,COMPLETE
18,0.4632629455883783,2026-04-28 15:05:23.399440,2026-04-28 15:05:24.662361,0 days 00:00:01.262921,0.6151001209744258,0.014198866691043152,9,38,608,72,0.03331591765251679,0.01836680363528979,0.8094655610397757,COMPLETE
19,0.4629082001335341,2026-04-28 15:05:24.662415,2026-04-28 15:05:26.109386,0 days 00:00:01.446971,0.5025124485019115,0.013915364495433798,9,33,351,65,0.000764180383064091,0.052374990496082796,0.8009811333510933,COMPLETE
20,0.4518785011577601,2026-04-28 15:05:26.109417,2026-04-28 15:05:27.533456,0 days 00:00:01.424039,0.7045005355351618,0.014036581759563604,9,32,348,66,0.0004997953438849456,0.05476999247060154,0.9862585089900371,COMPLETE
21,0.46669454289236256,2026-04-28 15:05:27.533491,2026-04-28 15:05:28.670464,0 days 00:00:01.136973,0.5503060718721106,0.01413058110160963,9,45,494,75,0.0008384950908382197,0.023423320304024407,0.8008498431890706,COMPLETE
22,0.4605961806455609,2026-04-28 15:05:28.670492,2026-04-28 15:05:30.098865,0 days 00:00:01.428373,0.5706766237028469,0.01467110105440499,9,39,352,98,0.0007657173867117263,0.016193826977646514,0.8037500908481596,COMPLETE
23,0.47122002914506916,2026-04-28 15:05:30.098892,2026-04-28 15:05:31.219360,0 days 00:00:01.120468,0.5165870680467335,0.015349637962170008,9,30,509,75,0.033608872821702905,0.00026262548417621686,0.823119096013993,COMPLETE
24,0.4600149938651494,2026-04-28 15:05:31.219407,2026-04-28 15:05:32.380975,0 days 00:00:01.161568,0.5644844608484162,0.022656426698696937,10,23,519,72,0.015459130882854298,0.00013705489464749514,0.8304386696671845,COMPLETE
25,0.46099322781472546,2026-04-28 15:05:32.381006,2026-04-28 15:05:33.618034,0 days 00:00:01.237028,0.6230573436906617,0.016752450129252198,9,52,495,102,0.024029012811696848,0.0006718925047624824,0.781856312965095,COMPLETE
26,0.45726055602644766,2026-04-28 15:05:33.618062,2026-04-28 15:05:34.954107,0 days 00:00:01.336045,0.5548808614695815,0.025993832382088414,10,46,561,112,0.00014604654972107537,5.586695402209943e-05,0.8690383931090411,COMPLETE
27,0.4412179289587625,2026-04-28 15:05:34.954134,2026-04-28 15:05:37.159649,0 days 00:00:02.205515,0.7780857473193092,0.02810966190032325,7,26,562,77,1.0510158767583768,0.007695522043962618,0.8120144572257117,COMPLETE
28,0.4683598496931748,2026-04-28 15:05:37.159700,2026-04-28 15:05:38.302847,0 days 00:00:01.143147,0.5060524271525761,0.012536553926022638,8,40,433,88,0.0019413818916745801,0.24184637387355049,0.774931756814915,COMPLETE
29,0.4420368298007071,2026-04-28 15:05:38.302879,2026-04-28 15:05:39.982532,0 days 00:00:01.679653,0.5003975630339621,0.06512359181947816,8,56,427,93,3.6728050074810125e-07,0.36186460501662293,0.7763411817596457,COMPLETE
